statement,label,original_idx
Narinder Singh Kapany lived in India.,1,68
Daisuke Inoue lived in Japan.,1,619
Alexander Fleming invented the penicillin discovery.,1,669
Benjamin Holt invented the caterpillar track.,1,135
Hans Oersted invented the electromagnetism discovery.,1,216
August Horch invented the Audi automobile.,1,521
Whitcomb Judson lived in U.S.,1,39
Joseph Engelberger invented the industrial robot.,1,121
George Pullman invented the Pullman railroad sleeping car.,1,696
Albert Ghiorso lived in U.S.,1,359
John Bardeen invented the transistor.,1,800
Benjamin Holt lived in U.S.,1,166
John T. Parsons invented the numerical control (CNC).,1,531
James Clerk Maxwell lived in U.K.,1,735
Gustaf Dalén invented the AGA lighthouse.,1,244
Elisha Otis lived in U.S.,1,249
Auguste and Louis Lumière lived in France.,1,865
Michael Faraday lived in U.K.,1,236
Galileo Galilei lived in Italy.,1,97
Benjamin Rubin invented the vaccine jet injector.,1,552
Giovanni Caselli lived in Italy.,1,684
Lester Wire invented the electric traffic light.,1,188
Mary Anderson invented the windshield wiper.,1,378
André-Jacques Garnerin invented the frameless parachute.,1,108
Louis Pasteur invented the pasteurization.,1,279
Christian Huygens invented the pendulum clock.,1,714
Thomas Edison lived in U.S.,1,477
Sir Sandford Fleming invented the standard time zones.,1,451
Joseph Aspdin lived in U.K.,1,254
Philo Taylor Farnsworth invented the electron scanning tube (Image dissector).,1,666
Ralph Benjamin lived in U.K.,1,481
Henri Giffard invented the airship (non-rigid).,1,588
André-Jacques Garnerin lived in France.,1,338
Frank Bunker Gilbreth lived in U.S.,1,164
Thomas Savery lived in U.K.,1,311
Bette Nesmith Graham lived in U.S.,1,288
Georges Claude invented the neon lighting.,1,624
Carl Sontheimer lived in U.S.,1,729
Christopher Cockerell invented the hovercraft.,1,76
Candace Pert lived in U.S.,1,137
Philipp Reis invented the early telephone prototype.,1,208
Henry Ford invented the assembly line production.,1,41
Carlos Glidden lived in U.S.,1,371
Willis Carrier lived in U.S.,1,115
Emile Berliner lived in Germany/U.S.,1,610
Fritz Pfleumer lived in Germany.,1,74
Edmund Cartwright lived in U.K.,1,492
Samuel Colt invented the revolver.,1,191
Rudolf Kálmán lived in Hungary.,1,66
Alessandro Volta invented the electric battery.,1,386
Benjamin Rubin lived in U.S.,1,851
Elihu Thomson invented the arc welding.,1,606
Richard Leach Maddox lived in U.K.,1,158
Carl Wilhelm Siemens invented the Siemens regenerative furnace.,1,383
John Ambrose Fleming invented the vacuum tube diode.,1,764
John Gorrie lived in U.S.,1,385
James Hargreaves lived in U.K.,1,692
Carlos Glidden invented the typewriter.,1,733
James Murray Spangler lived in U.S.,1,746
John Atanasoff invented the first electronic digital computer (prototype).,1,558
Herbert Saffir invented the Saffir-Simpson Hurricane Scale.,1,840
Garrett Morgan lived in U.S.,1,343
Jack Kilby invented the integrated circuit.,1,48
Louis Pasteur lived in France.,1,316
Clyde Tombaugh invented the discovery of Pluto.,1,368
Christian Huygens lived in Netherlands.,1,436
Richard Leach Maddox invented the dry collodion photographic plate.,1,475
Kwolek lived in Stephanie.,1,544
Joseph-Armand Bombardier lived in Canada.,1,117
Nicolas Appert lived in France.,1,717
George Cayley invented the aerodynamics (theoretical).,1,420
Evangelista Torricelli invented the barometer.,1,870
Philipp Reis lived in Germany.,1,490
Marvin Camras invented the magnetic recording.,1,183
R. Buckminster Fuller invented the geodesic dome.,1,807
John Atanasoff lived in U.S.,1,99
Godfrey Hounsfield lived in U.K.,1,859
Antoine Lavoisier lived in France.,1,181
Alec Jeffreys lived in U.K.,1,540
Thomas Edison invented the light bulb.,1,232
Eugene Polley lived in U.S.,1,833
Charles Fritts invented the solar cell.,1,471
Dr. Robert Gallo lived in U.S.,1,826
Charles Francis Richter invented the Richter scale.,1,688
Robert Adler invented the ultrasonic remote control.,1,824
Eli Whitney invented the cotton gin.,1,554
Wilhelm Conrad Röntgen invented the X-rays discovery.,1,25
Ernest Swinton lived in U.K.,1,210
George Antheil lived in U.S.,1,470
Alexander Graham Bell lived in Scotland/Canada/U.S.,1,284
Nikolay Slavyanov lived in Russia.,1,825
Henry Bessemer invented the Bessemer process for steelmaking.,1,779
Gideon Sundback invented the zipper.,1,83
Ernesto Blanco lived in U.S.,1,218
Sir Charles Parsons lived in U.K.,1,564
Ami Argand lived in Switzerland.,1,268
John Walker invented the friction match.,1,320
Joseph Henry lived in U.S.,1,525
Zhores Alferov lived in Russia.,1,836
Jacob Perkins lived in U.S.,1,695
Joseph Aspdin invented the Portland cement.,1,517
Frederick McKinley Jones invented the refrigeration unit for trucks.,1,422
Ernest Swinton invented the tank.,1,364
Willem Einthoven invented the electrocardiograph (ECG).,1,872
Hans Goldschmidt lived in Germany.,1,750
William Sturgeon lived in U.K.,1,17
Wilhelm Conrad Röntgen lived in Germany.,1,668
George Antheil invented the piano roll (used in player pianos).,1,360
Yvonne Brill invented the U.S.,1,508
Lester Wire lived in U.S.,1,88
Biruté Galdikas lived in Canada.,1,617
Evangelista Torricelli lived in Italy.,1,676
Josephine Cochrane lived in U.S.,1,328
Johannes Gutenberg invented the movable type printing press.,1,293
Alexander Fleming lived in U.K.,1,339
Frederick Walton lived in U.K.,1,18
Robert Moog lived in U.S.,1,106
Spencer Silver lived in U.S.,1,604
Alan Turing lived in U.K.,1,241
Charles Fritts lived in U.S.,1,67
Nikolai Basov lived in Soviet Union.,1,430
Sergey Brin and Larry Page invented the Google search engine.,1,700
Charles Macintosh lived in U.K.,1,286
John Ericsson lived in Sweden.,1,560
Joseph Marie Jacquard lived in France.,1,780
Hans Berger lived in Germany.,1,336
Samuel Fox lived in U.K.,1,335
László Bíró invented the ballpoint pen.,1,599
Pierre Curie lived in France.,1,820
Elisha Gray invented the telegraph printer.,1,767
Gottlieb Daimler invented the internal combustion engine.,1,503
Herbert Saffir lived in U.S.,1,124
Valdemar Poulsen lived in Denmark.,1,251
Philo Farnsworth invented the electronic television.,1,379
Benjamin Franklin lived in U.S.,1,100
Karl Benz lived in Germany.,1,579
Nikolai Basov invented the molecular laser.,1,720
Vint Cerf invented the internet protocol suite.,1,702
Igor Tamm invented the electron cooling.,1,65
Robert Chesebrough invented the Vaseline.,1,582
Fridtjof Nansen invented the modern polar exploration.,1,657
Chester Carlson invented the xerography.,1,567
Rudolf Diesel invented the diesel engine.,1,53
Samuel Morse lived in U.S.,1,828
Yoshiro Nakamatsu lived in Japan.,1,860
Fritz Pfleumer invented the magnetic tape.,1,350
Joseph Henry invented the electromagnetic relay.,1,292
Yoshiro Nakamatsu invented the floppy disk.,1,128
Georges Claude lived in France.,1,549
Sergey Brin and Larry Page lived in U.S.,1,673
George de Mestral lived in Switzerland.,1,370
Ruth Benerito invented the wrinkle-resistant fabric.,1,365
Frederick G. Creed invented the teleprinter.,1,346
Ferdinand Carré lived in France.,1,837
Konrad Zuse lived in Germany.,1,694
George Washington Carver invented the agricultural innovations.,1,775
Charles Townes lived in U.S.,1,641
James Dyson lived in U.K.,1,132
Vint Cerf lived in U.S.,1,758
William Kelly lived in U.S.,1,352
Edwin Herbert Hall lived in U.S.,1,2
Frederick McKinley Jones lived in U.S.,1,691
Mary Phelps Jacob invented the modern brassiere.,1,322
Marie Curie invented the discovery of radium and polonium.,1,306
Reginald Fessenden invented the amplitude modulation (AM) radio.,1,569
John Callcott Horsley lived in U.K.,1,331
Luther George Simjian invented the Automated Teller Machine (ATM).,1,397
William Kelly invented the Bessemer process for steelmaking.,1,519
John von Neumann lived in Hungary/U.S.,1,220
Leon Theremin invented the theremin.,1,843
Linus Torvalds invented the Linux operating system.,1,855
George Eastman invented the roll film.,1,832
Charles Babbage lived in U.K.,1,266
George Cayley lived in U.K.,1,407
Biruté Galdikas invented the orangutan conservation.,1,42
Mary Walton invented the noise reduction system for elevated railways.,1,858
Blaise Pascal invented the mechanical calculator.,1,506
John Callcott Horsley invented the Christmas card.,1,804
David Schwarz lived in Croatia.,1,693
James Starley lived in U.K.,1,583
Tim Berners-Lee lived in U.K.,1,662
John Boyd Dunlop lived in Scotland.,1,698
Cai Lun invented the papermaking process.,1,810
Sir Sandford Fleming lived in Canada.,1,102
John Logie Baird invented the mechanical television.,1,556
Ignazio Porro lived in Italy.,1,84
Charles Tellier lived in France.,1,766
Carl Wilhelm Siemens lived in Germany.,1,480
Charles Townes invented the maser.,1,742
Valdemar Poulsen invented the magnetic wire recorder.,1,214
Carl Elsener invented the Swiss Army knife.,1,388
Nikola Tesla invented the alternating current (AC) electrical system.,1,772
Hippolyte Mège-Mouriès invented the margarine.,1,77
Lloyd Groff Copeman invented the electric stove.,1,518
Charles Macintosh invented the waterproof fabric.,1,265
Joseph Glidden invented the barbed wire.,1,468
Bette Nesmith Graham invented the Liquid Paper.,1,790
Paul Gottlieb Nipkow invented the Nipkow disk (mechanical television).,1,425
Percy Spencer invented the microwave oven.,1,261
Alfred Nobel invented the dynamite.,1,1
Felix Hoffmann lived in Germany.,1,796
Alfred Nobel lived in Sweden.,1,553
Hedy Lamarr lived in Austria/U.S.,1,687
John Wesley Hyatt lived in U.S.,1,131
Paul Gottlieb Nipkow lived in Germany.,1,324
Percy Spencer lived in U.S.,1,154
John Gorrie invented the mechanical refrigeration (ice-making machine).,1,463
Joseph Swan lived in U.K.,1,571
Albert Ghiorso invented the co-discovery of multiple elements.,1,178
Heinrich Göbel lived in Germany.,1,587
Cai Lun lived in China.,1,869
Karl Landsteiner invented the blood types.,1,605
Joseph Bramah lived in U.K.,1,277
Sir Isaac Newton lived in U.K.,1,351
Stephanie Kwolek invented the Kevlar.,1,739
Orville and Wilbur Wright invented the airplane.,1,75
Clarence Birdseye invented the flash freezing.,1,146
Luther Simjian lived in Turkey/U.S.,1,274
Mary Anderson lived in U.S.,1,329
Leon Theremin lived in Russia.,1,246
John Ambrose Fleming lived in U.K.,1,456
Ignazio Porro invented the Porro prism.,1,761
Johannes Gutenberg lived in Germany.,1,414
Reginald Fessenden lived in Canada/U.S.,1,643
Robert Adler lived in Austria/U.S.,1,187
Philo Farnsworth lived in U.S.,1,260
Emile Berliner invented the gramophone.,1,361
Maria Telkes invented the solar thermal storage system.,1,728
Charles Wheatstone lived in U.K.,1,611
Samuel Colt lived in U.S.,1,788
John von Neumann invented the stored-program computer architecture.,1,846
Hans Oersted lived in Denmark.,1,534
Wallace Carothers lived in U.S.,1,130
Semyon Kirlian invented the Kirlian photography.,1,689
Godfrey Hounsfield invented the computed tomography (CT) scanner.,1,295
Thomas Tompion invented the cylinder escapement (clockmaking).,1,844
Blaise Pascal lived in France.,1,848
Auguste and Louis Lumière invented the cinematograph.,1,594
Hippolyte Mège-Mouriès lived in France.,1,602
George Devol lived in U.S.,1,487
Karl Landsteiner lived in Austria.,1,622
Alessandro Volta lived in Italy.,1,546
Hans von Ohain lived in Germany.,1,706
Fridtjof Nansen lived in Norway.,1,112
James Watt lived in Scotland.,1,206
James Starley invented the bicycle improvements (tangential spokes.,1,745
Candace Pert invented the discovery of opiate receptor.,1,417
Michael Faraday invented the electric generator.,1,186
Henry Ford lived in U.S.,1,566
Levi Strauss invented the blue jeans.,1,502
Hans Geiger lived in Germany.,1,675
Sir Humphry Davy invented the safety lamp.,1,453
Nicolas Appert invented the canning process.,1,289
Alva J. Fisher lived in U.S.,1,473
John Wesley Hyatt invented the celluloid.,1,798
Sir Frank Whittle invented the jet engine.,1,520
Robert Noyce lived in U.S.,1,528
Charles Tellier invented the liquefied gas refrigeration.,1,683
Clyde Tombaugh lived in U.S.,1,515
Ferdinand von Zeppelin lived in Germany.,1,577
Richard Gatling lived in U.S.,1,573
Kwolek invented the U.S.,1,366
Igor Sikorsky invented the practical helicopter.,1,816
R. Buckminster Fuller lived in U.S.,1,712
David Edward Hughes lived in U.S.,1,61
Ruth Handler lived in U.S.,1,547
Igor Sikorsky lived in Ukraine/U.S.,1,595
Édouard-Léon Scott de Martinville invented the Phonautograph.,1,532
Luther George Simjian lived in Turkey/U.S.,1,123
Linus Torvalds lived in Finland.,1,627
Hans Goldschmidt invented the thermite process.,1,482
Samuel Fox invented the steel ribbed umbrella.,1,376
Nikola Tesla lived in Austrian Empire (modern-day Croatia)/U.S.,1,782
Sir Charles Parsons invented the steam turbine.,1,69
Robert Moog invented the Moog synthesizer.,1,759
Arthur Fry invented the Post-it notes.,1,253
Yoshua Bengio lived in Canada.,1,62
Tim Berners-Lee invented the World Wide Web.,1,122
Otis Boykin lived in U.S.,1,542
David Edward Hughes invented the microphone (carbon).,1,223
Arthur Pitney lived in U.S.,1,381
Thomas Wedgwood invented the photogram (proto-photography).,1,809
John Shepherd-Barron lived in Scotland.,1,23
Richard Gatling invented the Gatling gun.,1,661
Igor Tamm lived in Russia.,1,489
Mary Walton lived in U.S.,1,795
James Hargreaves invented the spinning jenny.,1,78
John Harrison invented the marine chronometer.,1,799
Nils Bohlin lived in Sweden.,1,538
Charles Goodyear invented the vulcanized rubber.,1,326
Henri Giffard lived in France.,1,831
Alan Turing invented the Turing machine (theoretical).,1,608
Earle Dickson invented the Band-Aid.,1,126
Semyon Kirlian lived in Russia.,1,82
Charles Babbage invented the analytical engine (mechanical computer).,1,297
Clarence Birdseye lived in U.S.,1,21
Arthur Fry lived in U.S.,1,79
James Clerk Maxwell invented the electromagnetic field theory.,1,652
Nikolay Slavyanov invented the shielded metal arc welding.,1,419
Edouard Benedictus lived in France.,1,635
Jacob Perkins invented the compression refrigeration.,1,765
Charles Strite invented the pop-up toaster.,1,179
Jack Kilby lived in U.S.,1,334
