,statement,label
265,Charles Macintosh invented the waterproof fabric.,1
477,Thomas Edison lived in U.S.,1
79,Arthur Fry lived in U.S.,1
401,Joseph Marie Jacquard invented the Jacquard loom.,1
605,Karl Landsteiner invented the blood types.,1
624,Georges Claude invented the neon lighting.,1
126,Earle Dickson invented the Band-Aid.,1
608,Alan Turing invented the Turing machine (theoretical).,1
780,Joseph Marie Jacquard lived in France.,1
402,Chester Carlson lived in U.S.,1
804,John Callcott Horsley invented the Christmas card.,1
292,Joseph Henry invented the electromagnetic relay.,1
832,George Eastman invented the roll film.,1
468,Joseph Glidden invented the barbed wire.,1
474,John Ericsson invented the U.S.,1
540,Alec Jeffreys lived in U.K.,1
668,Wilhelm Conrad Röntgen lived in Germany.,1
525,Joseph Henry lived in U.S.,1
656,Elisha Otis invented the safety elevator.,1
761,Ignazio Porro invented the Porro prism.,1
99,John Atanasoff lived in U.S.,1
261,Percy Spencer invented the microwave oven.,1
837,Ferdinand Carré lived in France.,1
534,Hans Oersted lived in Denmark.,1
231,Alva J. Fisher invented the electric washing machine.,1
833,Eugene Polley lived in U.S.,1
738,Daniel Fahrenheit invented the mercury-in-glass thermometer.,1
482,Hans Goldschmidt invented the thermite process.,1
693,David Schwarz lived in Croatia.,1
201,Edwin H. Land lived in U.S.,1
533,Charles Francis Richter lived in U.S.,1
324,Paul Gottlieb Nipkow lived in Germany.,1
216,Hans Oersted invented the electromagnetism discovery.,1
137,Candace Pert lived in U.S.,1
799,John Harrison invented the marine chronometer.,1
859,Godfrey Hounsfield lived in U.K.,1
841,John Walker lived in U.K.,1
831,Henri Giffard lived in France.,1
447,Jean-Bernard-Léon Foucault invented the Foucault pendulum.,1
854,Heinrich Hertz invented the electromagnetic waves discovery.,1
517,Joseph Aspdin invented the Portland cement.,1
247,Hans Berger invented the electroencephalography (EEG).,1
124,Herbert Saffir lived in U.S.,1
88,Lester Wire lived in U.S.,1
657,Fridtjof Nansen invented the modern polar exploration.,1
660,John Kay lived in U.K.,1
91,Hans Geiger invented the Geiger counter.,1
82,Semyon Kirlian lived in Russia.,1
503,Gottlieb Daimler invented the internal combustion engine.,1
544,Kwolek lived in Stephanie.,1
146,Clarence Birdseye invented the flash freezing.,1
855,Linus Torvalds invented the Linux operating system.,1
874,John Shepherd-Barron invented the ATM.,1
61,David Edward Hughes lived in U.S.,1
844,Thomas Tompion invented the cylinder escapement (clockmaking).,1
328,Josephine Cochrane lived in U.S.,1
724,Narinder Singh Kapany invented the fiber optics.,1
853,Willem Einthoven lived in Netherlands.,1
566,Henry Ford lived in U.S.,1
64,Edmund Cartwright invented the power loom.,1
188,Lester Wire invented the electric traffic light.,1
179,Charles Strite invented the pop-up toaster.,1
125,Frank Julian Sprague invented the electric streetcar system.,1
350,Fritz Pfleumer invented the magnetic tape.,1
872,Willem Einthoven invented the electrocardiograph (ECG).,1
840,Herbert Saffir invented the Saffir-Simpson Hurricane Scale.,1
387,Robert Chesebrough lived in U.S.,1
554,Eli Whitney invented the cotton gin.,1
254,Joseph Aspdin lived in U.K.,1
378,Mary Anderson invented the windshield wiper.,1
316,Louis Pasteur lived in France.,1
77,Hippolyte Mège-Mouriès invented the margarine.,1
181,Antoine Lavoisier lived in France.,1
745,James Starley invented the bicycle improvements (tangential spokes.,1
712,R. Buckminster Fuller lived in U.S.,1
813,Florence Parpart invented the modern electric refrigerator.,1
763,Otis Boykin invented the improved electrical resistor.,1
481,Ralph Benjamin lived in U.K.,1
295,Godfrey Hounsfield invented the computed tomography (CT) scanner.,1
307,John Boyd Dunlop invented the pneumatic bicycle tire.,1
210,Ernest Swinton lived in U.K.,1
784,Carl Sontheimer invented the food processor.,1
595,Igor Sikorsky lived in Ukraine/U.S.,1
489,Igor Tamm lived in Russia.,1
673,Sergey Brin and Larry Page lived in U.S.,1
50,Lloyd Groff Copeman lived in U.S.,1
62,Yoshua Bengio lived in Canada.,1
361,Emile Berliner invented the gramophone.,1
698,John Boyd Dunlop lived in Scotland.,1
274,Luther Simjian lived in Turkey/U.S.,1
836,Zhores Alferov lived in Russia.,1
733,Carlos Glidden invented the typewriter.,1
280,Archimedes invented the Archimedes' screw.,1
775,George Washington Carver invented the agricultural innovations.,1
41,Henry Ford invented the assembly line production.,1
224,Ruth Benerito lived in U.S.,1
39,Whitcomb Judson lived in U.S.,1
702,Vint Cerf invented the internet protocol suite.,1
214,Valdemar Poulsen invented the magnetic wire recorder.,1
122,Tim Berners-Lee invented the World Wide Web.,1
128,Yoshiro Nakamatsu invented the floppy disk.,1
798,John Wesley Hyatt invented the celluloid.,1
331,John Callcott Horsley lived in U.K.,1
858,Mary Walton invented the noise reduction system for elevated railways.,1
244,Gustaf Dalén invented the AGA lighthouse.,1
663,Charles Francis Jenkins lived in U.S.,1
266,Charles Babbage lived in U.K.,1
38,Ralph H. Baer invented the first home video game console.,1
549,Georges Claude lived in France.,1
492,Edmund Cartwright lived in U.K.,1
57,Daisuke Inoue invented the karaoke machine.,1
172,Dr. Robert Gallo invented the co-discovery of HIV.,1
7,Gustaf Dalén lived in Sweden.,1
664,Hans Lippershey invented the refracting telescope.,1
758,Vint Cerf lived in U.S.,1
558,John Atanasoff invented the first electronic digital computer (prototype).,1
635,Edouard Benedictus lived in France.,1
700,Sergey Brin and Larry Page invented the Google search engine.,1
75,Orville and Wilbur Wright invented the airplane.,1
284,Alexander Graham Bell lived in Scotland/Canada/U.S.,1
510,James Murray Spangler invented the portable vacuum cleaner.,1
684,Giovanni Caselli lived in Italy.,1
428,Ferdinand Carré invented the refrigeration (absorption process).,1
208,Philipp Reis invented the early telephone prototype.,1
0,Charles Wheatstone invented the Wheatstone bridge.,1
864,John Kay invented the flying shuttle.,1
563,Christopher Cockerell lived in U.K.,1
602,Hippolyte Mège-Mouriès lived in France.,1
123,Luther George Simjian lived in Turkey/U.S.,1
720,Nikolai Basov invented the molecular laser.,1
420,George Cayley invented the aerodynamics (theoretical).,1
594,Auguste and Louis Lumière invented the cinematograph.,1
564,Sir Charles Parsons lived in U.K.,1
336,Hans Berger lived in Germany.,1
352,William Kelly lived in U.S.,1
545,Charles Strite lived in U.S.,1
374,William Congreve lived in U.K.,1
847,Konrad Zuse invented the programmable computer (Z3).,1
795,Mary Walton lived in U.S.,1
109,George Washington Carver lived in U.S.,1
366,Kwolek invented the U.S.,1
121,Joseph Engelberger invented the industrial robot.,1
542,Otis Boykin lived in U.S.,1
309,Charles Cros lived in France.,1
691,Frederick McKinley Jones lived in U.S.,1
142,Yvonne Brill lived in Canada.,1
343,Garrett Morgan lived in U.S.,1
69,Sir Charles Parsons invented the steam turbine.,1
320,John Walker invented the friction match.,1
460,Gottlieb Daimler lived in Germany.,1
590,Arthur Pitney invented the postage meter.,1
869,Cai Lun lived in China.,1
539,Edwin Herbert Hall invented the Hall effect.,1
301,Ami Argand invented the Argand lamp.,1
714,Christian Huygens invented the pendulum clock.,1
652,James Clerk Maxwell invented the electromagnetic field theory.,1
311,Thomas Savery lived in U.K.,1
55,Frank Bunker Gilbreth invented the motion study.,1
516,Ferdinand von Zeppelin invented the rigid airship (Zeppelin).,1
248,Rudolf Diesel lived in Germany.,1
48,Jack Kilby invented the integrated circuit.,1
453,Sir Humphry Davy invented the safety lamp.,1
473,Alva J. Fisher lived in U.S.,1
556,John Logie Baird invented the mechanical television.,1
70,Archimedes lived in Ancient Greece.,1
538,Nils Bohlin lived in Sweden.,1
251,Valdemar Poulsen lived in Denmark.,1
220,John von Neumann lived in Hungary/U.S.,1
46,Richard Trevithick invented the high-pressure steam engine.,1
303,Ralph Benjamin invented the trackball.,1
25,Wilhelm Conrad Röntgen invented the X-rays discovery.,1
518,Lloyd Groff Copeman invented the electric stove.,1
268,Ami Argand lived in Switzerland.,1
765,Jacob Perkins invented the compression refrigeration.,1
486,Eugene Polley invented the wireless remote control.,1
790,Bette Nesmith Graham invented the Liquid Paper.,1
258,Herbert Akroyd Stuart invented the hot bulb engine.,1
65,Igor Tamm invented the electron cooling.,1
843,Leon Theremin invented the theremin.,1
135,Benjamin Holt invented the caterpillar track.,1
783,James West invented the electret microphone.,1
49,Charles Goodyear lived in U.S.,1
587,Heinrich Göbel lived in Germany.,1
199,Sir Humphry Davy lived in U.K.,1
40,Joseph Glidden lived in U.S.,1
150,Walter Hunt invented the safety pin.,1
185,Maria Telkes lived in Hungary/U.S.,1
286,Charles Macintosh lived in U.K.,1
421,Hans Lippershey lived in Netherlands.,1
20,Ernesto Blanco invented the electric wheelchair.,1
647,Joseph-Armand Bombardier invented the snowmobile.,1
713,Thomas Tompion lived in U.K.,1
436,Christian Huygens lived in Netherlands.,1
306,Marie Curie invented the discovery of radium and polonium.,1
407,George Cayley lived in U.K.,1
636,David Schwarz invented the rigid airship.,1
83,Gideon Sundback invented the zipper.,1
531,John T. Parsons invented the numerical control (CNC).,1
506,Blaise Pascal invented the mechanical calculator.,1
353,Wallace Carothers invented the nylon.,1
622,Karl Landsteiner lived in Austria.,1
435,Guglielmo Marconi lived in Italy.,1
695,Jacob Perkins lived in U.S.,1
689,Semyon Kirlian invented the Kirlian photography.,1
828,Samuel Morse lived in U.S.,1
824,Robert Adler invented the ultrasonic remote control.,1
18,Frederick Walton lived in U.K.,1
383,Carl Wilhelm Siemens invented the Siemens regenerative furnace.,1
422,Frederick McKinley Jones invented the refrigeration unit for trucks.,1
329,Mary Anderson lived in U.S.,1
197,Guglielmo Marconi invented the radio.,1
830,John Logie Baird lived in Scotland.,1
662,Tim Berners-Lee lived in U.K.,1
90,László Bíró lived in Hungary.,1
430,Nikolai Basov lived in Soviet Union.,1
425,Paul Gottlieb Nipkow invented the Nipkow disk (mechanical television).,1
552,Benjamin Rubin invented the vaccine jet injector.,1
406,George Pullman lived in U.S.,1
735,James Clerk Maxwell lived in U.K.,1
195,Edwin Link lived in U.S.,1
326,Charles Goodyear invented the vulcanized rubber.,1
610,Emile Berliner lived in Germany/U.S.,1
593,William Sturgeon invented the electromagnet.,1
130,Wallace Carothers lived in U.S.,1
742,Charles Townes invented the maser.,1
803,Bartolomeo Cristofori invented the piano.,1
604,Spencer Silver lived in U.S.,1
97,Galileo Galilei lived in Italy.,1
119,Alexander Graham Bell invented the telephone.,1
490,Philipp Reis lived in Germany.,1
42,Biruté Galdikas invented the orangutan conservation.,1
368,Clyde Tombaugh invented the discovery of Pluto.,1
100,Benjamin Franklin lived in U.S.,1
811,William Congreve invented the Congreve rocket.,1
766,Charles Tellier lived in France.,1
385,John Gorrie lived in U.S.,1
183,Marvin Camras invented the magnetic recording.,1
296,Orville and Wilbur Wright lived in U.S.,1
687,Hedy Lamarr lived in Austria/U.S.,1
791,Ruth Handler invented the Barbie doll.,1
499,Mary Phelps Jacob lived in U.S.,1
661,Richard Gatling invented the Gatling gun.,1
728,Maria Telkes invented the solar thermal storage system.,1
826,Dr. Robert Gallo lived in U.S.,1
397,Luther George Simjian invented the Automated Teller Machine (ATM).,1
360,George Antheil invented the piano roll (used in player pianos).,1
2,Edwin Herbert Hall lived in U.S.,1
154,Percy Spencer lived in U.S.,1
692,James Hargreaves lived in U.K.,1
