,statement,label
29,Rhenium appears in its standard state as Gas.,0
186,Polonium has the symbol Tb.,0
265,Argon is in the Noble gas group.,1
94,Mercury has the symbol Cl.,0
784,Phosphorus appears in its standard state as Gas.,0
475,Sodium has the symbol Na.,1
219,Magnesium appears in its standard state as Gas.,0
490,Rhenium has the symbol Re.,1
423,Hafnium has the atomic number of 71.,0
893,Tellurium is in the Metalloid group.,1
99,Xenon has the symbol Xe.,1
30,Europium has the atomic number of 92.,0
688,Lanthanum is in the Lanthanide group.,1
493,Ytterbium has the atomic number of 82.,0
372,Tungsten appears in its standard state as Liquid.,0
169,Palladium has the symbol Pd.,1
81,Silver is in the Post-transition metal group.,0
640,Terbium has the atomic number of 89.,0
437,Neptunium has the atomic number of 4.,0
300,Fluorine has the symbol N.,0
71,Neon appears in its standard state as Gas.,1
427,Protactinium has the symbol Pa.,1
718,Copper has the symbol Cu.,1
578,Praseodymium is used in strong magnets and as a yellow pigment.,1
217,Radon is in the Noble gas group.,1
586,Osmium is used in strong magnets and as a yellow pigment.,0
907,Cesium has the atomic number of 73.,0
683,Cerium has the symbol Ce.,1
26,Tantalum has the atomic number of 73.,1
902,Thorium is in the Transition metal group.,0
653,Dysprosium is in the Transition metal group.,0
743,Nickel is in the Lanthanide group.,0
178,Yttrium has the atomic number of 26.,0
324,Tantalum is in the Lanthanide group.,0
595,Nickel has the symbol Ni.,1
420,Oxygen has the atomic number of 76.,0
341,Scandium appears in its standard state as Gas.,0
276,Lutetium has the atomic number of 37.,0
406,Hydrogen is in the Nonmetal group.,1
100,Francium has the atomic number of 87.,1
39,Terbium is used in green phosphors and lasers.,1
654,Lithium is in the Noble gas group.,0
135,Francium has the symbol Fr.,1
90,Titanium has the symbol Ti.,1
215,Helium has the atomic number of 2.,1
322,Manganese is in the Transition metal group.,1
589,Gold appears in its standard state as Gas.,0
112,Technetium is in the Lanthanide group.,0
171,Thallium appears in its standard state as Solid.,1
201,Hafnium has the symbol Hf.,1
222,Gold has the symbol Au.,1
234,Iridium has the atomic number of 77.,1
133,Palladium appears in its standard state as Gas.,0
195,Arsenic has the atomic number of 53.,0
627,Sodium has the atomic number of 24.,0
308,Zinc is used to galvanize steel and is an essential trace element in living organisms.,1
198,"Aluminum is a lightweight, corrosion-resistant metal used in many applications.",1
736,Tin has the atomic number of 50.,1
509,Barium is used in medical imaging and fireworks.,1
366,Calcium has the atomic number of 20.,1
282,Cerium forms more compounds than any other element.,0
312,Selenium appears in its standard state as Solid.,1
842,Tungsten has the atomic number of 74.,1
857,Tellurium has the symbol O.,0
484,Samarium appears in its standard state as Gas.,0
104,Indium has the symbol As.,0
505,Uranium has the symbol U.,1
181,Dysprosium is used in magnets and lasers.,1
398,Phosphorus is in the Alkali metal group.,0
316,Rubidium is in the Alkali metal group.,1
721,Promethium has the atomic number of 61.,1
5,Boron has the atomic number of 70.,0
239,Thulium appears in its standard state as Solid.,1
769,Oxygen is in the Nonmetal group.,1
719,Ytterbium is in the Lanthanide group.,1
106,Tin is in the Transition metal group.,0
910,Ytterbium has the highest melting point of all elements and is used in lightbulb filaments.,0
643,Iodine has the atomic number of 53.,1
299,Phosphorus has the symbol Zn.,0
439,Nitrogen appears in its standard state as Solid.,0
496,Argon has the symbol Co.,0
283,Boron has the symbol B.,1
869,Bismuth appears in its standard state as Solid.,1
652,Thorium has the symbol Th.,1
508,Actinium has the atomic number of 62.,0
152,Oxygen is necessary for aerobic respiration in living organisms.,1
571,Lithium has the atomic number of 56.,0
573,Argon has the symbol Ar.,1
802,Osmium has the symbol Rn.,0
617,Palladium is used in catalytic converters and hydrogen storage.,1
438,Tungsten is in the Transition metal group.,1
486,Fluorine appears in its standard state as Solid.,0
254,Cerium has the symbol Ne.,0
619,Iridium is in the Alkaline earth metal group.,0
854,Calcium is in the Alkaline earth metal group.,1
748,Argon has the atomic number of 18.,1
839,Europium has the symbol Ga.,0
768,Niobium is used in superconducting materials and steel alloys.,1
908,Radium has the atomic number of 89.,0
792,Krypton appears in its standard state as Solid.,0
202,Gold has the symbol Cr.,0
429,Argon appears in its standard state as Solid.,0
411,Lithium has the symbol Li.,1
67,Nitrogen is an essential component of proteins and DNA.,1
555,Iridium is used in catalytic converters and hydrogen storage.,0
216,Bromine has the atomic number of 35.,1
632,Nickel appears in its standard state as Solid.,1
726,Sodium appears in its standard state as Gas.,0
574,Ytterbium has the atomic number of 70.,1
901,Rhenium is used in high-temperature alloys and catalytic converters.,1
863,Chromium appears in its standard state as Solid.,1
57,Sulfur is in the Nonmetal group.,1
543,Erbium is in the Lanthanide group.,1
211,Strontium has the atomic number of 38.,1
737,Promethium has the symbol Dy.,0
903,Silicon has the atomic number of 59.,0
924,Indium is used to strengthen steel and in some high-capacity batteries.,0
518,Francium is the lightest metal and is used in rechargeable batteries.,0
329,Potassium is in the Alkali metal group.,1
677,Lead appears in its standard state as Gas.,0
704,Zinc appears in its standard state as Liquid.,0
693,Ruthenium is in the Lanthanide group.,0
570,Germanium has the symbol Ge.,1
151,Niobium is in the Lanthanide group.,0
274,Radon has the atomic number of 86.,1
895,Terbium has the symbol Ta.,0
631,Ruthenium is a highly conductive and reflective metal used in jewelry and electronics.,0
314,Protactinium is a radioactive element with no significant practical applications.,1
894,Gadolinium is in the Transition metal group.,0
116,Rhenium has the atomic number of 75.,1
410,Neon is in the Post-transition metal group.,0
237,Cobalt appears in its standard state as Gas.,0
53,Gallium is a toxic element used in some semiconductors and infrared detectors.,0
849,Tantalum is used in green phosphors and lasers.,0
658,Sodium is in the Alkali metal group.,1
564,Tantalum appears in its standard state as Solid.,1
626,Osmium is in the Transition metal group.,1
667,Cadmium appears in its standard state as Solid.,1
592,Lithium appears in its standard state as Liquid.,0
287,"Titanium is used in lasers, atomic clocks, and some solar cells.",0
606,"Zirconium is a rare, dense metal used in spark plugs, fountain pen nibs, and crucibles for high-temperature applications.",0
240,Thorium is in the Actinide group.,1
823,Polonium appears in its standard state as Gas.,0
494,Helium appears in its standard state as Gas.,1
786,Thorium appears in its standard state as Solid.,1
702,Arsenic has the atomic number of 33.,1
397,Neodymium is in the Transition metal group.,0
873,Antimony has the symbol Sb.,1
915,Erbium appears in its standard state as Solid.,1
179,Germanium is in the Alkaline earth metal group.,0
272,Palladium is in the Nonmetal group.,0
561,Technetium is a noble gas used as an inert atmosphere in welding and other applications.,0
203,Protactinium appears in its standard state as Gas.,0
194,Nitrogen has the atomic number of 31.,0
172,Sulfur has the symbol S.,1
442,Strontium is in the Alkaline earth metal group.,1
694,Rhodium is a noble gas used as an inert atmosphere in welding and other applications.,0
184,Antimony has the symbol Al.,0
741,Niobium has the atomic number of 43.,0
551,Germanium is a noble gas used as an inert atmosphere in welding and other applications.,0
275,Dysprosium has the symbol U.,0
426,Chlorine is in the Post-transition metal group.,0
611,Niobium has the symbol Rh.,0
565,Vanadium has the atomic number of 23.,1
665,Gold has the atomic number of 89.,0
808,Uranium appears in its standard state as Solid.,1
670,Europium appears in its standard state as Solid.,1
729,Antimony has the atomic number of 51.,1
887,Iodine has the symbol Nb.,0
393,Sodium has the atomic number of 11.,1
245,Actinium is in the Post-transition metal group.,0
482,Lanthanum is used to galvanize steel and is an essential trace element in living organisms.,0
722,Neodymium appears in its standard state as Solid.,1
350,Lithium is the lightest metal and is used in rechargeable batteries.,1
738,Europium has the atomic number of 63.,1
262,Platinum has the atomic number of 78.,1
145,Bromine appears in its standard state as Liquid.,1
270,Germanium has the atomic number of 13.,0
669,Technetium has the atomic number of 6.,0
348,Mercury has the atomic number of 80.,1
673,Strontium is in the Lanthanide group.,0
820,"Tin is used in fireworks to produce a bright red color and in certain types of glass, such as CRT displays.",0
268,Beryllium appears in its standard state as Solid.,1
161,Astatine appears in its standard state as Gas.,0
811,Tungsten has the atomic number of 54.,0
204,Neptunium has the atomic number of 93.,1
332,Titanium has the atomic number of 22.,1
13,Barium is used in touchscreens and some semiconductors.,0
207,Cesium appears in its standard state as Gas.,0
691,Lanthanum has the symbol Po.,0
354,Aluminum appears in its standard state as Solid.,1
730,Cobalt is in the Transition metal group.,1
503,Silicon appears in its standard state as Gas.,0
735,Osmium is the densest naturally occurring element and is used in some alloys.,1
906,Manganese has the symbol Mn.,1
108,Antimony is in the Metalloid group.,1
418,Tungsten has the symbol Zr.,0
404,Krypton is in the Noble gas group.,1
860,Platinum has the symbol Pt.,1
425,Fluorine is in the Halogen group.,1
856,Germanium has the symbol Br.,0
448,Technetium appears in its standard state as Gas.,0
107,Gallium has the symbol Ga.,1
840,Gadolinium has the symbol Gd.,1
280,Erbium is used in lasers and fiber-optic communication.,1
238,Cadmium has the symbol Cd.,1
879,Iodine is essential for thyroid function and is used as a disinfectant.,1
419,Silver is in the Transition metal group.,1
807,Manganese is in the Nonmetal group.,0
767,Carbon appears in its standard state as Solid.,1
900,Tantalum has the symbol Cs.,0
391,Mercury has the symbol Hg.,1
891,Thallium is in the Post-transition metal group.,1
625,Potassium has the atomic number of 34.,0
376,Osmium is in the Post-transition metal group.,0
613,Neodymium has the symbol Ac.,0
392,Radon is a radioactive noble gas produced during the decay of uranium and thorium; it can accumulate in buildings and is a health hazard.,1
577,Indium has the atomic number of 60.,0
416,Boron has the atomic number of 5.,1
446,Oxygen is in the Halogen group.,0
876,"Thulium is a strong, lightweight metal used in aerospace and medical implants.",0
351,Molybdenum is used in the production of sulfuric acid and rubber vulcanization.,0
435,Copper has the atomic number of 29.,1
175,Arsenic appears in its standard state as Solid.,1
296,Lutetium has the symbol Lu.,1
51,Holmium has the atomic number of 92.,0
445,Argon is the lightest radioactive element and is used in medical imaging.,0
794,Cerium appears in its standard state as Gas.,0
361,Chlorine appears in its standard state as Gas.,1
395,Astatine has the atomic number of 7.,0
733,Samarium is in the Lanthanide group.,1
98,Sodium is in the Post-transition metal group.,0
25,Chlorine has the atomic number of 17.,1
139,Uranium is a radioactive element used as fuel in nuclear reactors and in the production of atomic weapons.,1
301,Magnesium has the symbol Mg.,1
3,Indium is in the Lanthanide group.,0
196,Strontium appears in its standard state as Solid.,1
96,Astatine is a highly reactive alkali metal used in atomic clocks.,0
835,Scandium has the atomic number of 53.,0
460,Antimony has the atomic number of 21.,0
790,Cesium is in the Alkali metal group.,1
408,Iron has the atomic number of 26.,1
590,Lead has the atomic number of 31.,0
230,Neon is a radioactive element used as a neutron source and in some cancer treatments.,0
307,Bismuth has the atomic number of 55.,0
602,Erbium is in the Post-transition metal group.,0
604,Europium is a semiconductor used in transistors and photovoltaic cells.,0
770,Uranium appears in its standard state as Gas.,0
740,Ytterbium appears in its standard state as Solid.,1
526,Thallium is in the Transition metal group.,0
634,Hafnium is used in nuclear control rods and high-temperature alloys.,1
291,Tin is used in solder and pewter.,1
865,Cesium appears in its standard state as Solid.,1
147,Selenium has the atomic number of 60.,0
478,"Ytterbium is used in lasers, atomic clocks, and some solar cells.",1
815,Radon appears in its standard state as Gas.,1
286,Silver has the symbol Sb.,0
327,Silicon is in the Metalloid group.,1
709,Magnesium is in the Transition metal group.,0
150,Palladium is a liquid at room temperature and used in thermometers and some electrical switches.,0
550,Arsenic is in the Nonmetal group.,0
214,Francium has the symbol Tl.,0
364,Ruthenium is used in catalytic converters and some electronic components.,1
346,Lanthanum is in the Alkali metal group.,0
433,Gold appears in its standard state as Solid.,1
472,Praseodymium appears in its standard state as Solid.,1
114,Hydrogen is the most abundant element in the universe.,1
333,Gold is in the Lanthanide group.,0
660,Samarium has the symbol Sm.,1
60,Terbium is in the Lanthanide group.,1
149,Krypton appears in its standard state as Gas.,1
898,Tellurium has the atomic number of 39.,0
883,Indium has the atomic number of 49.,1
920,Carbon forms more compounds than any other element.,1
874,Protactinium has the symbol Ir.,0
639,Uranium has the atomic number of 82.,0
68,Sodium reacts violently with water and is essential for nerve function.,1
453,Bismuth is used in solder and pewter.,0
491,Silicon is the second most abundant element in Earth's crust and is used in computer chips.,1
600,Praseodymium has the symbol Pr.,1
473,Iodine appears in its standard state as Gas.,0
97,Lanthanum has the atomic number of 57.,1
804,Neodymium has the symbol Nd.,1
82,Indium is used in touchscreens and some semiconductors.,1
896,Xenon has the atomic number of 54.,1
125,Praseodymium appears in its standard state as Gas.,0
697,Lutetium is used to galvanize steel and is an essential trace element in living organisms.,0
636,Radium is in the Nonmetal group.,0
621,Chlorine is essential for muscle and nerve function and is highly reactive with water.,0
803,Neon appears in its standard state as Solid.,0
671,Silicon has the atomic number of 14.,1
614,Magnesium has the atomic number of 26.,0
456,"Iron is a highly valued, non-reactive metal used in jewelry, catalytic converters, and fuel cells.",0
248,Platinum is in the Transition metal group.,1
46,Antimony appears in its standard state as Liquid.,0
742,Holmium has the symbol Tb.,0
261,Beryllium is used in the production of glass and ceramics.,0
182,Holmium appears in its standard state as Solid.,1
501,Zinc has the symbol Zn.,1
668,Carbon is the most reactive and electronegative element.,0
647,Platinum has the symbol La.,0
109,Zirconium is in the Transition metal group.,1
585,Cadmium has the atomic number of 37.,0
353,Tellurium appears in its standard state as Gas.,0
646,Neptunium has the symbol Na.,0
793,Yttrium appears in its standard state as Gas.,0
717,Gadolinium is used in MRI contrast agents and X-ray tubes.,1
387,Cadmium has the symbol Ir.,0
788,Niobium appears in its standard state as Solid.,1
382,Aluminum has the symbol Sc.,0
830,"Krypton is a heavy, toxic metal used in batteries, radiation shielding, and some solders.",0
259,"Titanium is a strong, lightweight metal used in aerospace and medical implants.",1
878,Bromine is an essential component of proteins and DNA.,0
14,Radon has the atomic number of 41.,0
89,Hydrogen has the atomic number of 1.,1
86,Aluminum appears in its standard state as Gas.,0
764,Rhodium is in the Lanthanide group.,0
818,Scandium is a radioactive noble gas produced during the decay of uranium and thorium; it can accumulate in buildings and is a health hazard.,0
822,Osmium appears in its standard state as Gas.,0
700,Molybdenum has the symbol Mo.,1
303,Cobalt appears in its standard state as Solid.,1
127,Zinc has the symbol Fr.,0
