,statement,label,original_idx
375,Guglielmo Marconi lived in Italy.,1,435
736,Thomas Edison invented the trackball.,0,467
225,Philo Farnsworth lived in U.S.,1,260
129,Elisha Gray invented the telegraph printer.,1,767
185,Ignazio Porro lived in Italy.,1,84
823,Fritz Pfleumer lived in Canada/U.S.,0,513
242,Hans von Ohain lived in Germany.,1,706
137,Vint Cerf invented the internet protocol suite.,1,702
169,Leon Theremin invented the theremin.,1,843
93,Ernesto Blanco lived in U.S.,1,218
516,Felix Hoffmann invented the agricultural innovations.,0,408
750,Archimedes lived in U.S.,0,412
491,Bartolomeo Cristofori lived in U.S.,0,794
788,Alfred Nobel lived in U.S.,0,159
65,Christian Huygens lived in Netherlands.,1,436
390,Yvonne Brill lived in Canada.,1,142
565,Ralph Benjamin invented the Porro prism.,0,133
794,John Logie Baird invented the karaoke machine.,0,116
317,Rudolf Diesel lived in Germany.,1,248
239,George Devol lived in U.S.,1,487
634,Sir Charles Parsons invented the lightning rod.,0,565
274,Robert Moog invented the Moog synthesizer.,1,759
631,Igor Tamm invented the Unimate (first industrial robot).,0,34
415,Konrad Zuse lived in Poland/France.,0,734
593,Carl Elsener invented the laser.,0,773
43,Willis Carrier lived in U.S.,1,115
157,James Dyson lived in U.K.,1,132
17,Michael Faraday lived in U.K.,1,236
270,Hans Goldschmidt invented the thermite process.,1,482
724,Mary Phelps Jacob lived in Ukraine/U.S.,0,849
767,George Cayley lived in Canada.,0,219
484,Leon Theremin invented the Geiger counter.,0,685
197,Paul Gottlieb Nipkow invented the Nipkow disk (mechanical television).,1,425
497,Thomas Savery invented the bagless vacuum cleaner.,0,632
600,Emile Berliner invented the Kirlian photography.,0,226
608,Karl Benz invented the industrial robot.,0,276
722,Ruth Handler invented the refracting telescope.,0,699
333,Shinya Yamanaka invented the induced pluripotent stem cells.,1,281
217,Luther Simjian lived in Turkey/U.S.,1,274
437,Garrett Morgan invented the adhesive (used in Post-it notes).,0,774
691,Nicolas Appert invented the heterotransistor.,0,278
321,Carl Elsener lived in Switzerland.,1,757
19,Benjamin Rubin invented the vaccine jet injector.,1,552
556,Charles Tellier lived in U.K.,0,509
449,George Cayley invented the orangutan conservation.,0,174
237,Auguste and Louis Lumière invented the cinematograph.,1,594
667,Nikolay Slavyanov lived in Stephanie.,0,175
162,Mary Phelps Jacob invented the modern brassiere.,1,322
368,Guglielmo Marconi invented the radio.,1,197
315,Ruth Benerito lived in U.S.,1,224
522,Frederick McKinley Jones invented the karaoke machine.,0,705
53,Carl Wilhelm Siemens invented the Siemens regenerative furnace.,1,383
444,John Boyd Dunlop invented the refrigeration (absorption process).,0,344
395,John Shepherd-Barron invented the ATM.,1,874
101,Frederick McKinley Jones invented the refrigeration unit for trucks.,1,422
448,Daniel Fahrenheit invented the piano roll (used in player pianos).,0,202
253,Alva J. Fisher lived in U.S.,1,473
76,Godfrey Hounsfield lived in U.K.,1,859
780,William Sturgeon lived in Germany.,0,462
393,Charles Francis Richter lived in U.S.,1,533
161,Frederick McKinley Jones lived in U.S.,1,691
427,Ruth Benerito invented the Barbie doll.,0,355
674,Ralph Benjamin lived in Italy.,0,262
498,August Horch invented the electron cooling.,0,298
241,Alessandro Volta lived in Italy.,1,546
170,Linus Torvalds invented the Linux operating system.,1,855
601,Richard Gatling lived in U.K.,0,271
372,Alexander Graham Bell invented the telephone.,1,119
786,Frank Bunker Gilbreth lived in Russia.,0,654
742,Charles Francis Richter invented the liquefied gas refrigeration.,0,15
32,André-Jacques Garnerin lived in France.,1,338
382,Garrett Morgan invented the traffic signal.,1,136
562,Paul Gottlieb Nipkow invented the electromagnetism discovery.,0,93
640,Robert Chesebrough invented the roll film.,0,723
