,Unnamed: 0,original_idx,statement,label,n1,n2,diff,abs_diff
692,784,1084,Seventy-seven is smaller than eighty-three.,1,77,83,-6,6
443,780,1080,Seventy-seven is larger than seventy-eight.,0,77,78,-1,1
783,156,795,Seventy-one is smaller than fifty-four.,0,71,54,17,17
432,736,967,Seventy-four is larger than ninety-nine.,0,74,99,-25,25
200,800,1780,Ninety-five is larger than seventy-three.,1,95,73,22,22
361,452,518,Sixty-three is larger than eighty-nine.,0,63,89,-26,26
390,568,688,Sixty-seven is larger than eighty-three.,0,67,83,-16,16
25,100,625,Sixty-six is larger than sixty-one.,1,66,61,5,5
68,272,1031,Seventy-six is larger than seventy-two.,1,76,72,4,4
799,220,934,Seventy-four is smaller than sixty-two.,0,74,62,12,12
189,756,1731,Ninety-four is larger than sixty-seven.,1,94,67,27,27
116,464,1349,Eighty-four is larger than eighty-three.,1,84,83,1,1
558,248,263,Fifty-six is smaller than ninety-nine.,1,56,99,-43,43
719,892,1357,Eighty-four is smaller than ninety-three.,1,84,93,-9,9
408,640,811,Seventy-one is larger than seventy-three.,0,71,73,-2,2
717,884,1319,Eighty-three is smaller than ninety-nine.,1,83,99,-16,16
433,740,993,Seventy-five is larger than seventy-nine.,0,75,79,-4,4
487,956,1622,Ninety-one is larger than ninety-four.,0,91,94,-3,3
127,508,1420,Eighty-six is larger than sixty-four.,1,86,64,22,22
245,980,1970,Ninety-nine is larger than eighty-eight.,1,99,88,11,11
784,160,799,Seventy-one is smaller than fifty-eight.,0,71,58,13,13
714,872,1307,Eighty-three is smaller than eighty-six.,1,83,86,-3,3
627,524,615,Sixty-five is smaller than ninety-nine.,1,65,99,-34,34
723,908,1404,Eighty-five is smaller than ninety-six.,1,85,96,-11,11
209,836,1820,Ninety-six is larger than sixty-eight.,1,96,68,28,28
370,488,566,Sixty-four is larger than ninety-four.,0,64,94,-30,30
347,396,451,Sixty-two is larger than sixty-four.,0,62,64,-2,2
589,372,417,Sixty-one is smaller than seventy-five.,1,61,75,-14,14
87,348,1167,Seventy-nine is larger than seventy-six.,1,79,76,3,3
747,12,222,Fifty-six is smaller than fifty-three.,0,56,53,3,3
396,592,728,Sixty-eight is larger than seventy-eight.,0,68,78,-10,10
290,168,174,Fifty-four is larger than ninety-eight.,0,54,98,-44,44
759,60,489,Sixty-three is smaller than fifty-six.,0,63,56,7,7
82,328,1147,Seventy-nine is larger than fifty-four.,1,79,54,25,25
323,300,328,Fifty-eight is larger than seventy-four.,0,58,74,-16,16
541,180,190,Fifty-five is smaller than sixty-seven.,1,55,67,-12,12
179,716,1685,Ninety-three is larger than sixty-five.,1,93,65,28,28
954,840,1824,Ninety-six is smaller than seventy-three.,0,96,73,23,23
647,604,740,Sixty-eight is smaller than ninety-two.,1,68,92,-24,24
217,868,1855,Ninety-seven is larger than fifty-eight.,1,97,58,39,39
956,848,1832,Ninety-six is smaller than eighty-two.,0,96,82,14,14
594,392,437,Sixty-one is smaller than ninety-seven.,1,61,97,-36,36
755,44,404,Sixty-one is smaller than fifty-nine.,0,61,59,2,2
413,660,831,Seventy-one is larger than ninety-five.,0,71,95,-24,24
284,144,150,Fifty-four is larger than seventy-two.,0,54,72,-18,18
