,statement,label
0,The Spanish word 'con' means 'to speak'.,0
1,The Spanish word 'uno' means 'one'.,1
2,The Spanish word 'tener' means 'to have'.,1
3,The Spanish word 'caliente' means 'hot'.,1
4,The Spanish word 'palabra' means 'word'.,1
5,The Spanish word 'pero' means 'but'.,1
6,The Spanish word 'o' means 'octopus'.,0
7,The Spanish word 'de' means 'now'.,0
8,The Spanish word 'y' means 'and'.,1
9,The Spanish word 'otro' means 'hot'.,0
10,The Spanish word 'hacer' means 'lost'.,0
11,The Spanish word 'tiempo' means 'market'.,0
12,The Spanish word 'decir' means 'order'.,0
13,The Spanish word 'conjunto' means 'son'.,0
14,The Spanish word 'tres' means 'three'.,1
15,The Spanish word 'querer' means 'of'.,0
16,The Spanish word 'aire' means 'silver'.,0
17,The Spanish word 'jugar' means 'to play'.,1
18,The Spanish word 'poner' means 'whale'.,0
19,The Spanish word 'casa' means 'to make'.,0
20,The Spanish word 'leer' means 'to read'.,1
21,The Spanish word 'mano' means 'too'.,0
22,The Spanish word 'grande' means 'large'.,1
23,The Spanish word 'tierra' means 'land'.,1
24,The Spanish word 'grande' means 'to ask'.,0
25,The Spanish word 'alto' means 'space'.,0
26,The Spanish word 'preguntar' means 'to describe'.,0
27,The Spanish word 'hombre' means 'simple'.,0
28,The Spanish word 'luz' means 'week'.,0
29,The Spanish word 'madre' means 'mother'.,1
30,The Spanish word 'mundo' means 'zebra'.,0
31,The Spanish word 'cerca' means 'dog'.,0
32,The Spanish word 'construir' means 'to build'.,1
33,The Spanish word 'padre' means 'special'.,0
34,The Spanish word 'nuevo' means 'always'.,0
35,The Spanish word 'parte' means 'part'.,1
36,The Spanish word 'lugar' means 'place'.,1
37,The Spanish word 'vivir' means 'sheep'.,0
38,The Spanish word 'espalda' means 'back'.,1
39,The Spanish word 'bueno' means 'good'.,1
40,The Spanish word 'dar' means 'before'.,0
41,The Spanish word 'nombre' means 'name'.,1
42,The Spanish word 'muy' means 'temperature'.,0
